Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,Image
Ray,2004,77th Academy Awards,2/27/05,Best Actor,X,Jamie Foxx,12/13/67,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyNjY1NDg3NF5BMl5BanBnXkFtZTgwNjA2MTg0MzE@._V1_UY317_CR12,0,214,317_AL_.jpg"
Million Dollar Baby,2004,77th Academy Awards,2/27/05,Best Actor,,Clint Eastwood,5/31/30,74,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MDc0MjY0OV5BMl5BanBnXkFtZTcwNzU1MDAxOA@@._V1_UY317_CR10,0,214,317_AL_.jpg"
Finding Neverland,2004,77th Academy Awards,2/27/05,Best Actor,,Johnny Depp,6/9/63,41,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0ODU5Nzk2OV5BMl5BanBnXkFtZTcwMzI2ODgyNQ@@._V1_UY317_CR4,0,214,317_AL_.jpg"
Hotel Rwanda,2004,77th Academy Awards,2/27/05,Best Actor,,Don Cheadle,11/29/64,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDMxNDM3MzY5N15BMl5BanBnXkFtZTcwMjkzOTY4MQ@@._V1_UY317_CR17,0,214,317_AL_.jpg"
The Aviator,2004,77th Academy Awards,2/27/05,Best Actor,,Leonardo DiCaprio,11/11/74,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY317_CR10,0,214,317_AL_.jpg"
Million Dollar Baby,2004,77th Academy Awards,2/27/05,Best Actress,X,Hilary Swank,7/30/74,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NzQzNTU4NV5BMl5BanBnXkFtZTcwMDAyOTMwMw@@._V1_UY317_CR12,0,214,317_AL_.jpg"
Vera Drake,2004,77th Academy Awards,2/27/05,Best Actress,,Imelda Staunton,1/9/56,49,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NzcwOTE0NF5BMl5BanBnXkFtZTYwNjAxOTI1._V1_UX214_CR0,0,214,317_AL_.jpg"
Being Julia,2004,77th Academy Awards,2/27/05,Best Actress,,Annette Bening,5/29/58,46,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4ODQ1ODM5Ml5BMl5BanBnXkFtZTcwOTU2NDk3OQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Eternal Sunshine of the Spotless Mind,2004,77th Academy Awards,2/27/05,Best Actress,,Kate Winslet,10/5/75,29,"https://images-na.ssl-images-amazon.com/images/M/MV5BODgzMzM2NTE0Ml5BMl5BanBnXkFtZTcwMTcyMTkyOQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Maria Full of Grace,2004,77th Academy Awards,2/27/05,Best Actress,,Catalina Sandino Moreno,4/19/81,23,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MDI5MTA0M15BMl5BanBnXkFtZTgwODE2NDA1NTE@._V1_UY317_CR32,0,214,317_AL_.jpg"
Million Dollar Baby,2004,77th Academy Awards,2/27/05,Best Supporting Actor,X,Morgan Freeman,6/1/37,67,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MDMyMzI2OF5BMl5BanBnXkFtZTcwMzM2OTk1MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
The Aviator,2004,77th Academy Awards,2/27/05,Best Supporting Actor,,Alan Alda,1/28/36,69,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5NDM1NjkyMV5BMl5BanBnXkFtZTYwNDA3NjQz._V1_UY317_CR8,0,214,317_AL_.jpg"
Sideways,2004,77th Academy Awards,2/27/05,Best Supporting Actor,,Thomas Haden Church,6/17/60,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjkxNDQ1MzIxM15BMl5BanBnXkFtZTcwMjA1MTA4Mg@@._V1_UY317_CR1,0,214,317_AL_.jpg"
Closer,2004,77th Academy Awards,2/27/05,Best Supporting Actor,,Clive Owen,10/3/64,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzAyOTc5Ml5BMl5BanBnXkFtZTcwOTQ5NzEzMg@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Collateral,2004,77th Academy Awards,2/27/05,Best Supporting Actor,,Jamie Foxx,12/13/67,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyNjY1NDg3NF5BMl5BanBnXkFtZTgwNjA2MTg0MzE@._V1_UY317_CR12,0,214,317_AL_.jpg"
The Aviator,2004,77th Academy Awards,2/27/05,Best Supporting Actress,X,Cate Blanchett,5/14/69,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDUyNDMxMzU1OF5BMl5BanBnXkFtZTgwMTY0MzQyMDI@._V1_UX214_CR0,0,214,317_AL_.jpg"
Sideways,2004,77th Academy Awards,2/27/05,Best Supporting Actress,,Virginia Madsen,9/11/61,43,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjUyMDcxNTU3N15BMl5BanBnXkFtZTcwMDAwNjQzMg@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Kinsey,2004,77th Academy Awards,2/27/05,Best Supporting Actress,,Laura Linney,2/5/64,41,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyMDc3Mzc2M15BMl5BanBnXkFtZTcwMjc5OTcyMg@@._V1_UY317_CR7,0,214,317_AL_.jpg"
Hotel Rwanda,2004,77th Academy Awards,2/27/05,Best Supporting Actress,,Sophie Okonedo,8/1/68,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMDI3MzI0N15BMl5BanBnXkFtZTcwMTQzMzM5MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Closer,2004,77th Academy Awards,2/27/05,Best Supporting Actress,,Natalie Portman,6/9/81,23,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3ODE3Mjg1NV5BMl5BanBnXkFtZTcwNzA4ODcxNA@@._V1_UY317_CR11,0,214,317_AL_.jpg"
Capote,2005,78th Academy Awards,3/5/06,Best Actor,X,Philip Seymour Hoffman,7/23/67,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NTA1NTg3Ml5BMl5BanBnXkFtZTcwNzkxNzgxNw@@._V1_UY317_CR8,0,214,317_AL_.jpg"
"Good Night, and Good Luck.",2005,78th Academy Awards,3/5/06,Best Actor,,David Strathairn,1/26/49,57,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3MjI5MDg2MF5BMl5BanBnXkFtZTcwNjgwNDM3NQ@@._V1_UY317_CR118,0,214,317_AL_.jpg"
Hustle & Flow,2005,78th Academy Awards,3/5/06,Best Actor,,Terrence Howard,3/11/69,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3NTY4NzgyOV5BMl5BanBnXkFtZTcwODEzNTkxNg@@._V1_UY317_CR24,0,214,317_AL_.jpg"
Walk the Line,2005,78th Academy Awards,3/5/06,Best Actor,,Joaquin Phoenix,10/28/74,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzAzNjg5MDE3N15BMl5BanBnXkFtZTcwMjIxNzU0OA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Brokeback Mountain,2005,78th Academy Awards,3/5/06,Best Actor,,Heath Ledger,4/4/79,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NTY0NzA4MF5BMl5BanBnXkFtZTYwMjE1MDE0._V1_UX214_CR0,0,214,317_AL_.jpg"
Walk the Line,2005,78th Academy Awards,3/5/06,Best Actress,X,Reese Witherspoon,3/22/76,29,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MDcxMDA5Ml5BMl5BanBnXkFtZTgwNDM1NTU5MDE@._V1_UY317_CR1,0,214,317_AL_.jpg"
Mrs. Henderson Presents,2005,78th Academy Awards,3/5/06,Best Actress,,Judi Dench,12/9/34,71,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTI5NjQ4NDc5NF5BMl5BanBnXkFtZTcwMTc5OTczNw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Transamerica,2005,78th Academy Awards,3/5/06,Best Actress,,Felicity Huffman,12/9/62,43,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDI2MDIwMV5BMl5BanBnXkFtZTcwMzY3NzcxNw@@._V1_UY317_CR6,0,214,317_AL_.jpg"
North Country,2005,78th Academy Awards,3/5/06,Best Actress,,Charlize Theron,8/7/75,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5Mzc4ODU0Ml5BMl5BanBnXkFtZTcwNjU1NTI0Mw@@._V1_UY317_CR12,0,214,317_AL_.jpg"
Pride & Prejudice,2005,78th Academy Awards,3/5/06,Best Actress,,Keira Knightley,3/26/85,20,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNDM0NDA3M15BMl5BanBnXkFtZTcwNTkzMjQ3OA@@._V1_UY317_CR6,0,214,317_AL_.jpg"
Syriana,2005,78th Academy Awards,3/5/06,Best Supporting Actor,X,George Clooney,5/6/61,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMTEyOTQ0MV5BMl5BanBnXkFtZTcwNzU3NTMzNw@@._V1_UY317_CR9,0,214,317_AL_.jpg"
A History of Violence,2005,78th Academy Awards,3/5/06,Best Supporting Actor,,William Hurt,3/20/50,55,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNzA5MTUxN15BMl5BanBnXkFtZTcwMTU3ODQ3MQ@@._V1_UY317_CR2,0,214,317_AL_.jpg"
Crash,2005,78th Academy Awards,3/5/06,Best Supporting Actor,,Matt Dillon,2/18/64,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk4NjI3NjQ0MF5BMl5BanBnXkFtZTgwMzE3NzI5NzE@._V1_UY317_CR10,0,214,317_AL_.jpg"
Cinderella Man,2005,78th Academy Awards,3/5/06,Best Supporting Actor,,Paul Giamatti,6/6/67,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTc0MDAzMTU4N15BMl5BanBnXkFtZTcwNzA0NzcwNA@@._V1_UY317_CR16,0,214,317_AL_.jpg"
Brokeback Mountain,2005,78th Academy Awards,3/5/06,Best Supporting Actor,,Jake Gyllenhaal,12/19/80,25,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjA0MTU2NDY3MF5BMl5BanBnXkFtZTgwNDU4ODkzMzE@._V1_UX214_CR0,0,214,317_AL_.jpg"
The Constant Gardener,2005,78th Academy Awards,3/5/06,Best Supporting Actress,X,Rachel Weisz,3/7/70,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4MzM1MDAwMV5BMl5BanBnXkFtZTcwNTU4NzQwMw@@._V1_UY317_CR4,0,214,317_AL_.jpg"
North Country,2005,78th Academy Awards,3/5/06,Best Supporting Actress,,Frances McDormand,6/23/57,48,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3NzgxNjYzOF5BMl5BanBnXkFtZTgwNTIxMjExNzE@._V1_UY317_CR24,0,214,317_AL_.jpg"
Capote,2005,78th Academy Awards,3/5/06,Best Supporting Actress,,Catherine Keener,3/23/59,46,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwMzQ1Mzg1MF5BMl5BanBnXkFtZTcwNTE4MTU5MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Junebug,2005,78th Academy Awards,3/5/06,Best Supporting Actress,,Amy Adams,8/20/74,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NjExMjI1OF5BMl5BanBnXkFtZTcwODc0MjY2OQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Brokeback Mountain,2005,78th Academy Awards,3/5/06,Best Supporting Actress,,Michelle Williams,9/9/80,25,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNTQ2NTk3MV5BMl5BanBnXkFtZTcwNjExNDQzNA@@._V1_UY317_CR1,0,214,317_AL_.jpg"
The Last King of Scotland,2006,79th Academy Awards,2/25/07,Best Actor,X,Forest Whitaker,7/15/61,45,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMDI3NTg2OV5BMl5BanBnXkFtZTcwNTgwMzg5Mg@@._V1_UY317_CR13,0,214,317_AL_.jpg"
Venus,2006,79th Academy Awards,2/25/07,Best Actor,,Peter O'Toole,8/2/32,74,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MDYyNzczN15BMl5BanBnXkFtZTYwNjMzNjMz._V1_UY317_CR3,0,214,317_AL_.jpg"
The Pursuit of Happyness,2006,79th Academy Awards,2/25/07,Best Actor,,Will Smith,9/25/68,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTczMzk1MjU1MV5BMl5BanBnXkFtZTcwNDk2MzAyMg@@._V1_UY317_CR2,0,214,317_AL_.jpg"
Blood Diamond,2006,79th Academy Awards,2/25/07,Best Actor,,Leonardo DiCaprio,11/11/74,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY317_CR10,0,214,317_AL_.jpg"
Half Nelson,2006,79th Academy Awards,2/25/07,Best Actor,,Ryan Gosling,11/12/80,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMjkwNTQ2OF5BMl5BanBnXkFtZTgwNTQ4MTQ4MTE@._V1_UY317_CR18,0,214,317_AL_.jpg"
The Queen,2006,79th Academy Awards,2/25/07,Best Actress,X,Helen Mirren,7/26/45,61,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzY2ODU2MV5BMl5BanBnXkFtZTcwOTQ3ODY4OQ@@._V1_UY317_CR18,0,214,317_AL_.jpg"
Notes on a Scandal,2006,79th Academy Awards,2/25/07,Best Actress,,Judi Dench,12/9/34,72,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTI5NjQ4NDc5NF5BMl5BanBnXkFtZTcwMTc5OTczNw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
The Devil Wears Prada,2006,79th Academy Awards,2/25/07,Best Actress,,Meryl Streep,6/22/49,57,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4Mjk5MDExOF5BMl5BanBnXkFtZTcwOTU1MTMyMw@@._V1_UY317_CR6,0,214,317_AL_.jpg"
Volver,2006,79th Academy Awards,2/25/07,Best Actress,,Penelope Cruz,4/28/74,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0Mzc1MTc2OF5BMl5BanBnXkFtZTcwMzE4MzQxMw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Little Children,2006,79th Academy Awards,2/25/07,Best Actress,,Kate Winslet,10/5/75,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BODgzMzM2NTE0Ml5BMl5BanBnXkFtZTcwMTcyMTkyOQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Little Miss Sunshine,2006,79th Academy Awards,2/25/07,Best Supporting Actor,X,Alan Arkin,3/26/34,72,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDk5Njc3MF5BMl5BanBnXkFtZTYwNjc5NDc0._V1_UY317_CR4,0,214,317_AL_.jpg"
Dreamgirls,2006,79th Academy Awards,2/25/07,Best Supporting Actor,,Eddie Murphy,4/3/61,45,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NDQzODAwNF5BMl5BanBnXkFtZTYwMzUzNTk3._V1_UY317_CR6,0,214,317_AL_.jpg"
Little Children,2006,79th Academy Awards,2/25/07,Best Supporting Actor,,Jackie Earle Haley,7/14/61,45,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1MTgxOTM4NF5BMl5BanBnXkFtZTcwMDE0Mzg4OQ@@._V1_UY317_CR12,0,214,317_AL_.jpg"
Blood Diamond,2006,79th Academy Awards,2/25/07,Best Supporting Actor,,Djimon Hounsou,4/24/64,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ2NTM4MzI4M15BMl5BanBnXkFtZTcwOTkxMjcxNA@@._V1_UY317_CR10,0,214,317_AL_.jpg"
The Departed,2006,79th Academy Awards,2/25/07,Best Supporting Actor,,Mark Wahlberg,6/5/71,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MjYwNTE2M15BMl5BanBnXkFtZTYwNTI0NjI1._V1_UX214_CR0,0,214,317_AL_.jpg"
Dreamgirls,2006,79th Academy Awards,2/25/07,Best Supporting Actress,X,Jennifer Hudson,9/12/81,25,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NTczMDU5OV5BMl5BanBnXkFtZTcwNDI0ODY1NA@@._V1_UY317_CR6,0,214,317_AL_.jpg"
Babel,2006,79th Academy Awards,2/25/07,Best Supporting Actress,,Adriana Barraza,3/5/56,51,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NzE3MTYzNV5BMl5BanBnXkFtZTcwNTIwNzIzMQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Notes on a Scandal,2006,79th Academy Awards,2/25/07,Best Supporting Actress,,Cate Blanchett,5/14/69,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDUyNDMxMzU1OF5BMl5BanBnXkFtZTgwMTY0MzQyMDI@._V1_UX214_CR0,0,214,317_AL_.jpg"
Babel,2006,79th Academy Awards,2/25/07,Best Supporting Actress,,Rinko Kikuchi,1/6/81,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NjE0MjcwN15BMl5BanBnXkFtZTYwMDcxNTA1._V1_UX214_CR0,0,214,317_AL_.jpg"
Little Miss Sunshine,2006,79th Academy Awards,2/25/07,Best Supporting Actress,,Abigail Breslin,4/14/96,10,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzU5MTA5MzYzOF5BMl5BanBnXkFtZTcwODc4OTIxNw@@._V1_UY317_CR4,0,214,317_AL_.jpg"
There Will Be Blood,2007,80th Academy Awards,2/24/08,Best Actor,X,Daniel Day-Lewis,4/29/57,50,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NDY2NDc1Ml5BMl5BanBnXkFtZTcwNjAyMjkwOQ@@._V1_UY317_CR13,0,214,317_AL_.jpg"
In the Valley of Elah,2007,80th Academy Awards,2/24/08,Best Actor,,Tommy Lee Jones,9/15/46,61,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyNjc4MDc0OV5BMl5BanBnXkFtZTcwOTc5OTUwOQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Eastern Promises,2007,80th Academy Awards,2/24/08,Best Actor,,Viggo Mortensen,10/20/58,49,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDQzOTg4NzA2Nl5BMl5BanBnXkFtZTcwMzkwNjkxMg@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Michael Clayton,2007,80th Academy Awards,2/24/08,Best Actor,,George Clooney,5/6/61,46,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMTEyOTQ0MV5BMl5BanBnXkFtZTcwNzU3NTMzNw@@._V1_UY317_CR9,0,214,317_AL_.jpg"
Sweeney Todd: The Demon Barber of Fleet Street,2007,80th Academy Awards,2/24/08,Best Actor,,Johnny Depp,6/9/63,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0ODU5Nzk2OV5BMl5BanBnXkFtZTcwMzI2ODgyNQ@@._V1_UY317_CR4,0,214,317_AL_.jpg"
La Vie en Rose,2007,80th Academy Awards,2/24/08,Best Actress,X,Marion Cotillard,9/30/75,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNTEzNTkwNF5BMl5BanBnXkFtZTcwNzQ2NDIwOQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Away from Her,2007,80th Academy Awards,2/24/08,Best Actress,,Julie Christie,4/14/41,66,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MzIzMTE5MV5BMl5BanBnXkFtZTcwNDc3NDA2MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
The Savages,2007,80th Academy Awards,2/24/08,Best Actress,,Laura Linney,2/5/64,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyMDc3Mzc2M15BMl5BanBnXkFtZTcwMjc5OTcyMg@@._V1_UY317_CR7,0,214,317_AL_.jpg"
Elizabeth: The Golden Age,2007,80th Academy Awards,2/24/08,Best Actress,,Cate Blanchett,5/14/69,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDUyNDMxMzU1OF5BMl5BanBnXkFtZTgwMTY0MzQyMDI@._V1_UX214_CR0,0,214,317_AL_.jpg"
Juno,2007,80th Academy Awards,2/24/08,Best Actress,,Ellen Page,2/21/87,21,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3MzM3MDYzMV5BMl5BanBnXkFtZTcwNzk1Mzc3NA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
No Country for Old Men,2007,80th Academy Awards,2/24/08,Best Supporting Actor,X,Javier Bardem,3/1/69,39,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NTc4NTYzMF5BMl5BanBnXkFtZTcwNDIwOTY1NA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Into the Wild,2007,80th Academy Awards,2/24/08,Best Supporting Actor,,Hal Holbrook,2/17/25,83,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyNTMwNjE3NV5BMl5BanBnXkFtZTcwNTQzMjc1MQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Michael Clayton,2007,80th Academy Awards,2/24/08,Best Supporting Actor,,Tom Wilkinson,2/5/48,60,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNzc0NzQyN15BMl5BanBnXkFtZTcwNjI1NDA2MQ@@._V1_UY317_CR9,0,214,317_AL_.jpg"
Charlie Wilson's War,2007,80th Academy Awards,2/24/08,Best Supporting Actor,,Philip Seymour Hoffman,7/23/67,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NTA1NTg3Ml5BMl5BanBnXkFtZTcwNzkxNzgxNw@@._V1_UY317_CR8,0,214,317_AL_.jpg"
The Assassination of Jesse James by the Coward Robert Ford,2007,80th Academy Awards,2/24/08,Best Supporting Actor,,Casey Affleck,8/12/75,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MDU1NzU4MF5BMl5BanBnXkFtZTgwNDQ5ODgwMDI@._V1_UY317_CR14,0,214,317_AL_.jpg"
Michael Clayton,2007,80th Academy Awards,2/24/08,Best Supporting Actress,X,Tilda Swinton,11/5/60,47,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4NzMzMTkwNV5BMl5BanBnXkFtZTcwMzU4MDg1Mw@@._V1_UY317_CR19,0,214,317_AL_.jpg"
American Gangster,2007,80th Academy Awards,2/24/08,Best Supporting Actress,,Ruby Dee,10/27/22,85,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjU1NTkxODQwM15BMl5BanBnXkFtZTcwODMwMzc1MQ@@._V1_UY317_CR25,0,214,317_AL_.jpg"
I'm Not There,2007,80th Academy Awards,2/24/08,Best Supporting Actress,,Cate Blanchett,5/14/69,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDUyNDMxMzU1OF5BMl5BanBnXkFtZTgwMTY0MzQyMDI@._V1_UX214_CR0,0,214,317_AL_.jpg"
Gone Baby Gone,2007,80th Academy Awards,2/24/08,Best Supporting Actress,,Amy Ryan,11/30/69,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MTcwMzM0Nl5BMl5BanBnXkFtZTcwODIyMjM3NA@@._V1_UY317_CR3,0,214,317_AL_.jpg"
Atonement,2007,80th Academy Awards,2/24/08,Best Supporting Actress,,Saoirse Ronan,4/12/94,13,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNTM5NDE4NV5BMl5BanBnXkFtZTcwNzczMzEzOQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Crazy Heart,2009,81st Academy Awards,2/22/09,Best Actor,X,Jeff Bridges,12/4/49,59,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTU1NjM4MDYzMl5BMl5BanBnXkFtZTcwMjIwMjMyMw@@._V1_UY317_CR11,0,214,317_AL_.jpg"
Milk,2008,81st Academy Awards,2/22/09,Best Actor,X,Sean Penn,8/17/60,48,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1NjMzMjY3NF5BMl5BanBnXkFtZTcwMzkxNjQzMg@@._V1_UY317_CR1,0,214,317_AL_.jpg"
Frost/Nixon,2008,81st Academy Awards,2/22/09,Best Actor,,Frank Langella,1/1/38,71,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MDc0NTI3Nl5BMl5BanBnXkFtZTcwMTgzNjQzMg@@._V1_UY317_CR5,0,214,317_AL_.jpg"
The Visitor,2008,81st Academy Awards,2/22/09,Best Actor,,Richard Jenkins,5/4/47,61,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzM5MzA4NDcyN15BMl5BanBnXkFtZTcwMDkwNjQzMg@@._V1_UX214_CR0,0,214,317_AL_.jpg"
The Wrestler,2008,81st Academy Awards,2/22/09,Best Actor,,Mickey Rourke,9/16/52,56,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0MzYwNDA2MF5BMl5BanBnXkFtZTcwNDYzMjg4Mw@@._V1_UY317_CR4,0,214,317_AL_.jpg"
The Curious Case of Benjamin Button,2008,81st Academy Awards,2/22/09,Best Actor,,Brad Pitt,12/18/63,45,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
The Reader,2008,81st Academy Awards,2/22/09,Best Actress,X,Kate Winslet,10/5/75,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BODgzMzM2NTE0Ml5BMl5BanBnXkFtZTcwMTcyMTkyOQ@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Doubt,2008,81st Academy Awards,2/22/09,Best Actress,,Meryl Streep,6/22/49,59,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4Mjk5MDExOF5BMl5BanBnXkFtZTcwOTU1MTMyMw@@._V1_UY317_CR6,0,214,317_AL_.jpg"
Frozen River,2008,81st Academy Awards,2/22/09,Best Actress,,Melissa Leo,9/14/60,48,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MDAxOTkyOF5BMl5BanBnXkFtZTcwOTg1MDIzNA@@._V1_UY317_CR8,0,214,317_AL_.jpg"
Changeling,2008,81st Academy Awards,2/22/09,Best Actress,,Angelina Jolie,6/4/75,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BODg3MzYwMjE4N15BMl5BanBnXkFtZTcwMjU5NzAzNw@@._V1_UY317_CR22,0,214,317_AL_.jpg"
Rachel Getting Married,2008,81st Academy Awards,2/22/09,Best Actress,,Anne Hathaway,11/12/82,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjQ5MTAxMDc5OF5BMl5BanBnXkFtZTcwOTI0OTE4OA@@._V1_UY317_CR1,0,214,317_AL_.jpg"
The Dark Knight,2008,81st Academy Awards,2/22/09,Best Supporting Actor,X,Heath Ledger,4/4/79,29,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NTY0NzA4MF5BMl5BanBnXkFtZTYwMjE1MDE0._V1_UX214_CR0,0,214,317_AL_.jpg"
Tropic Thunder,2008,81st Academy Awards,2/22/09,Best Supporting Actor,,Robert Downey Jr.,4/4/65,43,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1MTUyNDYxOF5BMl5BanBnXkFtZTgwNTQ4MTE2MjE@._V1_UX214_CR0,0,214,317_AL_.jpg"
